"Gene Symbol"	"Affy ProbeId"	"TSNI Ranking"	"Binding Score *"	"TSNI score"	"pvalue TSNI"	"Area*"	"pvalue*"	"Genes found in literature (Perez & Pietenpol, Cell Cycle 6:3, e1-e9, 2007"	"Genes found in literature Truong et al,  2006 20: 3185-3197 Genes & Dev. )"	"Genes found in literature  (Yang et al, Molecular Cell 24, 593–602, November 17, 2006)"	"Genes found in literature Vigano MA et al, EMBO J. 2006 Nov 1;25(21):5105-16."
"Atp6v1b2"	"1415814_at"	604	0	-1.12E-01	0.7685	2.00E+00	0	0	0	0	0
"Clk4"	"1422886_a_at"	605	0	1.11E-01	0.7702	3.29E+00	0.0002	0	0	1	0
"Tnfrsf18"	"1422303_a_at"	606	20.5398	1.11E-01	0.7702	7.91E+00	0	0	0	0	0
"Alcam"	"1426300_at"	607	44.3361	-1.10E-01	0.772	3.09E+00	0	0	0	1	0
"Slc2a9"	"1426568_at"	608	58.7028	-1.09E-01	0.7737	1.59E+00	0.034	0	0	0	0
"Cldn1"	"1437932_a_at"	609	69.5186	-1.09E-01	0.7737	2.59E+00	0	0	1	1	0
"Nt5dc2"	"1424882_a_at"	610	0	1.08E-01	0.7754	1.83E+00	0	0	0	0	0
"Rnf185"	"1451108_at"	611	28.6403	-1.07E-01	0.7772	1.55E+00	0.0033	0	0	1	0
"Oat"	"1416452_at"	612	0	1.06E-01	0.7789	1.64E+00	0	0	0	1	0
"Depdc7"	"1424303_at"	613	43.0549	-1.05E-01	0.7806	3.97E+00	0	0	0	0	0
"Efhd1"	"1448507_at"	614	70.1908	1.05E-01	0.7806	2.52E+00	0.0001	0	0	0	0
"Tpp2"	"1430576_at"	615	0	1.05E-01	0.7806	3.02E+00	0	0	0	1	0
"Arih1"	"1427189_at"	616	0	1.04E-01	0.7824	2.13E+00	0.0001	0	0	0	0
"Gpsm1"	"1423689_a_at"	617	0	1.04E-01	0.7824	2.89E+00	0	0	0	0	0
"Fbxl10"	"1452198_at"	618	73.1319	1.03E-01	0.7841	1.70E+00	0.0409	0	0	0	0
"Grhpr"	"1417772_at"	619	0	-1.03E-01	0.7841	2.29E+00	0	0	0	0	0
"Crb3"	"1424809_at"	620	0	1.02E-01	0.7859	2.32E+00	0.0482	0	0	0	0
"Tor2a"	"1438547_x_at"	621	0	1.02E-01	0.7859	1.89E+00	0.0002	0	0	0	0
"Usp2"	"1417169_at"	622	21.9374	1.01E-01	0.7876	2.73E+00	0	0	0	0	0
"Bmyc"	"1428669_at"	623	10.4518	1.01E-01	0.7876	1.68E+00	0.0132	0	0	0	0
"Tsc22d1"	"1433899_x_at"	624	48.877	9.98E-02	0.7897	2.15E+00	0	0	0	0	0
"Acpp"	"1453943_a_at"	625	13.8698	9.93E-02	0.7906	7.91E+00	0	0	0	1	0
"Mnt"	"1418192_at"	626	0	9.84E-02	0.7921	1.84E+00	0.0003	0	0	0	0
"Ssbp4"	"1449511_a_at"	627	0	9.81E-02	0.7927	1.86E+00	0.0011	0	0	0	0
"2310022K01Rik"	"1452715_at"	628	0	9.72E-02	0.7942	1.56E+00	0	0	0	0	0
"Slc45a3"	"1426663_s_at"	629	0	-9.53E-02	0.7975	2.67E+00	0.0009	0	0	0	0
"Zc3h7a"	"1419898_s_at"	630	11.17	9.50E-02	0.7981	1.82E+00	0.0402	0	0	1	0
"Wnt10a"	"1460657_at"	631	14.0736	-9.48E-02	0.7984	3.16E+00	0	0	0	0	0
"Adfp"	"1448318_at"	632	11.9429	9.32E-02	0.8012	3.66E+00	0	0	0	0	0
"Leprotl1"	"1423552_at"	633	0	9.24E-02	0.8026	3.10E+00	0	0	0	0	0
"Ippk"	"1438019_at"	634	0	-9.22E-02	0.803	2.40E+00	0	0	0	0	0
"Ctsb"	"1448732_at"	635	24.124	-9.13E-02	0.8045	3.21E+00	0	0	0	0	0
"Mgst2"	"1452592_at"	636	59.9057	-9.11E-02	0.8049	4.40E+00	0	0	0	0	0
"Atp7a"	"1436921_at"	637	10.9543	-9.06E-02	0.8058	4.19E+00	0	0	0	0	0
"Hbegf"	"1418349_at"	638	27.7752	9.04E-02	0.8061	4.17E+00	0	1	0	1	0
"Pvr"	"1423904_a_at"	639	0	8.99E-02	0.807	8.82E+00	0	0	0	0	0
"Dexi"	"1460174_at"	640	0	-8.94E-02	0.8079	2.79E+00	0	0	0	0	0
"Ccrk"	"1422494_s_at"	641	0	-8.80E-02	0.8103	2.75E+00	0	0	0	0	0
"Mosc2"	"1416766_at"	642	18.3807	8.70E-02	0.8121	2.00E+00	0	0	0	0	0
"Mrps24"	"1438563_s_at"	643	0	-8.69E-02	0.8123	2.84E+00	0.0029	0	0	0	0
"Nab2"	"1417930_at"	644	11.0643	-8.66E-02	0.8128	2.17E+00	0	0	0	0	0
"Dusp10"	"1417163_at"	645	21.7732	8.59E-02	0.814	7.19E+00	0	0	0	0	0
"B3gnt1"	"1452346_at"	646	29.0987	-8.52E-02	0.8152	1.57E+00	0.0045	0	0	0	0
"Ogt"	"1436780_at"	647	38.9913	8.47E-02	0.8161	1.81E+00	0	0	0	0	0
"Srfbp1"	"1420509_at"	648	10.5784	8.45E-02	0.8165	2.47E+00	0	0	0	0	0
"D9Ertd306e"	"1442484_at"	649	11.468	8.44E-02	0.8166	5.79E+00	0	0	0	0	0
"Kif20a"	"1449207_a_at"	650	0	-8.39E-02	0.8175	8.36E+00	0	0	0	0	0
"Foxc1"	"1419485_at"	651	0	-8.28E-02	0.8195	3.50E+00	0	0	0	0	0
"Actr1b"	"1426403_at"	652	0	-8.26E-02	0.8198	1.55E+00	0	0	0	0	0
"Gpsm1"	"1436917_s_at"	653	0	-8.21E-02	0.8207	6.62E+00	0.0013	0	0	0	0
"Sqstm1"	"1450957_a_at"	654	0	8.14E-02	0.8219	6.06E+00	0.007	0	0	0	0
"Tm2d2"	"1439234_a_at"	655	0	-8.14E-02	0.8219	1.79E+00	0.0347	0	0	0	0
"Tgif"	"1422286_a_at"	656	0	8.13E-02	0.8221	2.34E+00	0	0	0	0	0
"Abhd4"	"1416315_at"	657	21.7681	-8.12E-02	0.8223	1.76E+00	0	0	0	0	0
"Dut"	"1419270_a_at"	658	0	8.04E-02	0.8237	2.79E+00	0	0	0	0	0
"Rrm2"	"1448226_at"	659	27.8688	7.95E-02	0.8253	3.84E+00	0	0	0	0	0
"Ndn"	"1438978_x_at"	660	0	7.94E-02	0.8254	1.81E+00	0	0	0	0	0
"2410015N17Rik"	"1416439_at"	661	0	7.88E-02	0.8265	1.75E+00	0	0	0	0	0
"Cdc20"	"1439377_x_at"	662	0	7.73E-02	0.8292	2.73E+00	0.0174	0	0	0	0
"Rnf12"	"1418730_at"	663	0	7.72E-02	0.8293	3.22E+00	0.0036	0	0	0	0
"Akr1b3 /// LOC235852 /// LOC382486 /// LOC385448 /// LOC385495 /// LOC672268"	"1448319_at"	664	0	7.67E-02	0.8302	4.14E+00	0	0	0	0	0
"Echs1"	"1452341_at"	665	18.258	-7.58E-02	0.8318	1.81E+00	0	0	0	0	0
"Sulf2"	"1430388_a_at"	666	17.6536	7.56E-02	0.8322	2.28E+00	0	0	0	0	0
"Dcxr"	"1419456_at"	667	26.9506	-7.56E-02	0.8322	7.93E+00	0	0	0	0	0
"Acpp"	"1419832_s_at"	668	13.8698	-7.49E-02	0.8334	6.02E+00	0	0	0	1	0
"Tpx2"	"1428104_at"	669	17.5229	7.44E-02	0.8343	1.69E+00	0.0022	0	0	1	0
"Lass2"	"1423955_a_at"	670	0	-7.37E-02	0.8355	1.54E+00	0	0	0	0	0
"Cpeb4"	"1449931_at"	671	10.1733	-7.32E-02	0.8364	3.90E+00	0.0009	0	0	0	0
"Ppih /// LOC433064 /// LOC629952 /// LOC665989 /// LOC666411 /// LOC669441 /// LOC671009 /// LOC676493"	"1431506_s_at"	672	0	-7.30E-02	0.8367	2.55E+00	0	0	0	0	0
"Itsn2"	"1431772_a_at"	673	54.5055	-7.23E-02	0.838	2.16E+00	0.0287	0	0	0	0
"Wsb1"	"1425241_a_at"	674	13.6742	7.09E-02	0.8405	1.88E+00	0	0	0	0	0
"Pop5"	"1417972_s_at"	675	0	-7.02E-02	0.8417	1.81E+00	0	0	0	0	1
"Klk10"	"1460236_at"	676	0	-7.01E-02	0.8419	3.49E+00	0	0	1	0	0
"Nfib"	"1438244_at"	677	75.2651	6.99E-02	0.8422	2.99E+00	0.0016	0	0	0	0
"Nppb"	"1450791_at"	678	0	6.97E-02	0.8426	1.03E+01	0	0	0	0	0
"LOC545548"	"1456001_at"	679	30.5822	6.88E-02	0.8442	1.05E+01	0	0	0	0	0
"Ldhb"	"1416183_a_at"	680	0	6.66E-02	0.8481	2.61E+00	0	0	0	0	0
"2610039C10Rik"	"1453314_x_at"	681	0	6.56E-02	0.8499	1.85E+00	0.0029	0	0	0	0
"Myo6"	"1421120_at"	682	44.6427	6.50E-02	0.8509	2.06E+00	0	0	0	0	0
"Psrc1"	"1425416_s_at"	683	28.9638	6.30E-02	0.8545	1.73E+00	0	0	0	0	0
"6330407G11Rik"	"1416912_at"	684	28.1925	6.22E-02	0.8559	1.57E+00	0	0	0	0	0
"Pkig"	"1434820_s_at"	685	0	6.19E-02	0.8564	1.86E+00	0.0025	0	0	1	0
"Ctns"	"1416274_at"	686	0	-6.08E-02	0.8584	4.01E+00	0	0	0	0	1
"BC039093"	"1435087_at"	687	0	-6.04E-02	0.8591	5.31E+00	0	0	0	0	0
"Tipin"	"1426612_at"	688	0	-5.92E-02	0.8612	1.98E+00	0	0	0	0	0
"Lmo1"	"1418478_at"	689	26.9061	5.88E-02	0.8619	1.72E+00	0	0	0	1	0
"C1qdc2"	"1439422_a_at"	690	0	-5.88E-02	0.8619	5.18E+00	0.0002	0	0	0	0
"Tk1"	"1416258_at"	691	16.5531	-5.86E-02	0.8623	5.70E+00	0	0	0	0	0
"Casp6"	"1415995_at"	692	14.3139	5.74E-02	0.8644	2.12E+00	0	0	0	0	0
"Evl"	"1434920_a_at"	693	25.3813	5.73E-02	0.8646	1.67E+00	0.0152	0	0	1	0
"Pttg1"	"1424105_a_at"	694	24.9572	5.69E-02	0.8653	7.36E+00	0	0	0	1	0
"Nedd9"	"1422818_at"	695	26.3868	-5.65E-02	0.866	2.42E+00	0.0033	0	0	1	0
"3110001A13Rik"	"1448509_at"	696	41.4459	5.60E-02	0.8669	2.94E+00	0.0076	0	0	0	0
"Scmh1"	"1426241_a_at"	697	48.1563	5.56E-02	0.8676	3.33E+00	0	0	0	0	0
"Cd8b1"	"1448569_at"	698	0	-5.47E-02	0.8692	2.06E+00	0	0	0	0	0
"Errfi1"	"1419816_s_at"	699	16.67	5.44E-02	0.8698	3.19E+00	0.0086	0	0	1	0
"2610039C10Rik"	"1428483_a_at"	700	0	-5.35E-02	0.8714	1.54E+00	0	0	0	0	0
"Phf23"	"1428997_at"	701	0	5.30E-02	0.8723	1.61E+00	0	0	0	0	0
"Efnb2"	"1419638_at"	702	52.0245	-5.14E-02	0.8751	2.49E+00	0	0	0	0	0
"Cnot4"	"1420999_at"	703	19.9316	-5.12E-02	0.8755	2.56E+00	0	0	0	0	0
"Ero1l"	"1419029_at"	704	0	5.04E-02	0.8769	2.96E+00	0	0	0	0	0
"Efnb2"	"1419639_at"	705	52.0245	-4.89E-02	0.8796	2.78E+00	0	0	0	0	0
"Cks1b"	"1448441_at"	706	11.6554	4.77E-02	0.8817	2.53E+00	0	0	0	1	0
"Usp2"	"1417168_a_at"	707	21.9374	4.42E-02	0.888	3.39E+00	0.0012	0	0	0	0
"Hspb8"	"1417013_at"	708	35.106	-4.38E-02	0.8887	2.35E+00	0.0185	0	0	0	0
"Ogt"	"1451738_at"	709	38.9913	4.33E-02	0.8896	1.56E+00	0.0013	0	0	0	0
"Prom1"	"1419700_a_at"	710	16.4333	-4.20E-02	0.8919	3.36E+00	0.0482	0	0	0	0
"2810410M20Rik"	"1423767_at"	711	0	4.15E-02	0.8928	2.09E+00	0	0	0	0	0
"Tubb2a /// Tubb2b /// LOC665524 /// LOC671656"	"1427347_s_at"	712	20.5486	-4.08E-02	0.8941	2.16E+00	0	0	0	0	0
"Tom1 /// LOC545878"	"1435055_a_at"	713	0	-4.06E-02	0.8944	2.00E+00	0	0	0	0	0
"Vcam1"	"1448162_at"	714	17.9644	4.03E-02	0.8949	1.64E+00	0.0099	0	0	0	0
"Hspa5"	"1416064_a_at"	715	0	3.76E-02	0.8998	2.26E+00	0	0	0	0	0
"Tmem19"	"1448275_at"	716	19.3466	3.74E-02	0.9001	2.56E+00	0	0	0	0	0
"1200016E24Rik"	"1452418_at"	717	0	3.72E-02	0.9005	5.42E+00	0	0	0	0	0
"Gusb"	"1448124_at"	718	0	-3.67E-02	0.9014	1.50E+00	0	0	0	0	0
"Ripk4"	"1418488_s_at"	719	126.9226	-3.65E-02	0.9018	1.55E+00	0.031	0	0	0	0
"Plaur"	"1452521_a_at"	720	11.8655	3.60E-02	0.9026	8.45E+00	0	0	0	0	0
"Cyp51"	"1450646_at"	721	0	3.52E-02	0.9041	2.03E+00	0.0046	0	0	0	0
"Zfand2a"	"1449702_at"	722	0	-3.50E-02	0.9044	5.62E+00	0	0	0	0	0
"Pla2g7"	"1430700_a_at"	723	0	-3.48E-02	0.9048	2.08E+00	0	0	1	0	1
"Acad11"	"1454647_at"	724	86.5795	3.47E-02	0.905	3.21E+00	0	0	0	1	0
"Wdr6"	"1415770_at"	725	0	-3.28E-02	0.9084	1.55E+00	0.0012	0	0	0	0
"1190017O12Rik"	"1417402_at"	726	0	3.27E-02	0.9086	1.66E+00	0	0	0	0	0
"Gpsm1"	"1423690_s_at"	727	0	3.18E-02	0.9102	9.96E+00	0	0	0	0	0
"Defb6"	"1421807_at"	728	0	-3.15E-02	0.9107	2.54E+00	0.0001	0	0	0	0
"Hsdl2"	"1426856_at"	729	0	-3.03E-02	0.9129	3.24E+00	0.0078	0	0	0	0
"Peg3"	"1433924_at"	730	0	-2.95E-02	0.9143	1.72E+01	0	0	0	0	0
"Gpr137b /// LOC664862 /// LOC673335"	"1450882_s_at"	731	0	2.90E-02	0.9152	1.94E+00	0.0027	0	0	0	0
"Aaas"	"1451377_a_at"	732	0	2.90E-02	0.9152	2.07E+00	0	0	0	1	0
"Jun"	"1417409_at"	733	19.1492	2.78E-02	0.9174	5.42E+00	0	0	0	1	1
"Ppp1r14a"	"1418086_at"	734	0	2.77E-02	0.9175	1.71E+00	0.0002	0	0	0	0
"Cyb5"	"1416727_a_at"	735	0	2.74E-02	0.9181	2.08E+00	0	0	0	0	0
"Btn1a1"	"1419175_a_at"	736	0	-2.72E-02	0.9184	1.50E+00	0.0334	0	0	0	0
"Ehf"	"1419474_a_at"	737	12.3391	-2.59E-02	0.9208	1.64E+00	0	0	0	1	0
"Kif23"	"1453748_a_at"	738	20.4075	2.53E-02	0.9219	2.71E+00	0.0143	0	0	0	0
"Ero1l"	"1449324_at"	739	0	-2.45E-02	0.9233	2.23E+00	0	0	0	0	0
"Ccnd3"	"1415907_at"	740	0	2.43E-02	0.9237	2.69E+00	0	0	0	0	0
"Foxc1"	"1419486_at"	741	0	-2.40E-02	0.9242	4.31E+00	0	0	0	0	0
"Parva"	"1431375_s_at"	742	54.4943	-2.33E-02	0.9254	2.29E+00	0	0	0	0	0
"Rfwd3"	"1423882_at"	743	32.7134	-2.30E-02	0.926	1.64E+00	0	0	0	0	0
"Tsc22d1"	"1454758_a_at"	744	48.877	2.12E-02	0.9292	2.13E+00	0.0006	0	0	0	0
"Cenpa"	"1450842_a_at"	745	24.3275	-2.10E-02	0.9296	5.37E+00	0	0	0	0	0
"Phlda1"	"1418835_at"	746	12.9774	-2.05E-02	0.9305	3.57E+00	0	0	1	0	0
"Nt5c3l"	"1449633_s_at"	747	0	2.02E-02	0.931	3.00E+00	0	0	0	0	0
"Cpeb2"	"1434272_at"	748	28.1149	1.97E-02	0.9319	6.79E+00	0.0001	0	0	0	0
"Fcgbp"	"1426872_at"	749	0	1.97E-02	0.9319	4.62E+00	0.0012	0	0	0	0
"2210023G05Rik"	"1424968_at"	750	0	-1.93E-02	0.9326	7.81E+00	0.0277	0	0	0	0
"Zfp7"	"1451323_at"	751	11.0705	1.88E-02	0.9335	1.78E+00	0	0	0	0	0
"C1qdc2"	"1448687_at"	752	0	-1.66E-02	0.9375	1.78E+00	0	0	0	0	0
"Cenph"	"1422016_a_at"	753	0	1.65E-02	0.9377	2.75E+00	0	0	0	0	0
"Cdc45l"	"1416575_at"	754	0	1.62E-02	0.9382	1.58E+00	0.0079	0	0	0	0
"Ldhb"	"1434499_a_at"	755	0	1.52E-02	0.94	7.24E+00	0.0001	0	0	0	0
"Tmem9"	"1419557_a_at"	756	0	1.46E-02	0.9411	1.56E+00	0	0	0	0	0
"Clcf1"	"1450262_at"	757	10.8655	1.32E-02	0.9436	1.57E+00	0	0	0	0	0
"Ero1l"	"1419030_at"	758	0	1.31E-02	0.9438	2.73E+00	0	0	0	0	0
"D930016D06Rik"	"1424861_at"	759	0	1.23E-02	0.9452	5.11E+00	0.0387	0	0	0	0
"P2rx4"	"1452527_a_at"	760	0	-1.18E-02	0.9461	2.02E+00	0.0207	0	0	0	0
"Luc7l"	"1431181_a_at"	761	0	-1.17E-02	0.9463	1.84E+00	0.0024	0	0	0	0
"Ass1"	"1416239_at"	762	39.1243	1.13E-02	0.947	4.28E+00	0	0	0	0	0
"Ahr"	"1422631_at"	763	0	-1.09E-02	0.9478	2.49E+00	0.0271	1	1	0	0
"Arg1"	"1419549_at"	764	0	-1.05E-02	0.9485	9.78E+00	0	0	0	0	0
"Ccnl2"	"1432195_s_at"	765	0	-1.00E-02	0.9494	2.00E+00	0	0	0	0	0
"Pmp22"	"1417133_at"	766	10.6695	-9.65E-03	0.95	2.75E+00	0.0137	0	0	0	0
"Zfand2a"	"1415941_s_at"	767	0	-9.64E-03	0.95	4.03E+00	0	0	0	0	0
"Dsc2"	"1426911_at"	768	26.1745	9.35E-03	0.9506	9.20E+00	0	0	0	0	0
"Sft2d2"	"1425027_s_at"	769	0	9.10E-03	0.951	2.57E+00	0.0009	0	0	0	0
"Peci"	"1431012_a_at"	770	0	-9.06E-03	0.9511	3.06E+00	0	0	0	0	0
"Atp7a"	"1418774_a_at"	771	10.9543	8.51E-03	0.9521	4.24E+00	0.0003	0	0	0	0
"Ldhb"	"1455235_x_at"	772	0	-8.00E-03	0.953	3.48E+00	0	0	0	0	0
"Ahcy"	"1417125_at"	773	0	7.68E-03	0.9536	1.96E+00	0	0	0	0	0
"Tmem48"	"1424173_at"	774	0	-5.57E-03	0.9574	1.63E+00	0	0	0	0	0
"2700094K13Rik"	"1436349_at"	775	0	-5.31E-03	0.9578	3.14E+00	0	0	0	0	0
"Serpina3g"	"1424923_at"	776	53.7186	-5.23E-03	0.958	1.59E+00	0.0071	0	0	0	0
"Sfrs12"	"1427136_s_at"	777	14.8484	-5.05E-03	0.9583	2.33E+00	0.0167	0	0	0	0
"Rps6ka1"	"1416896_at"	778	0	4.69E-03	0.959	2.10E+00	0	0	0	1	0
"Plek2"	"1449424_at"	779	55.1023	3.78E-03	0.9606	7.79E+00	0	0	0	1	0
"Cenpt"	"1426846_at"	780	31.7572	3.57E-03	0.961	2.07E+00	0	0	0	0	0
"Tacc3"	"1417450_a_at"	781	0	3.55E-03	0.961	3.45E+00	0	0	0	0	0
"Akr1b3"	"1437133_x_at"	782	0	-3.38E-03	0.9613	2.87E+00	0	0	0	0	0
"Mknk2"	"1418300_a_at"	783	0	3.23E-03	0.9616	1.65E+00	0	0	0	0	0
"Rhob"	"1449110_at"	784	21.7324	3.20E-03	0.9617	1.79E+00	0	1	0	0	0
"Myo6"	"1433942_at"	785	44.6427	8.42E-04	0.9659	2.29E+00	0	0	0	0	0
"2900042B11Rik"	"1453016_at"	786	0	-4.50E-04	0.9666	1.85E+00	0.034	0	0	0	0
