"Gene Symbol"	"Affy ProbeId"	"TSNI Ranking"	"Binding Score *"	"TSNI score"	"pvalue TSNI"	"Area*"	"pvalue*"	"Genes found in literature (Perez & Pietenpol, Cell Cycle 6:3, e1-e9, 2007"	"Genes found in literature Truong et al,  2006 20: 3185-3197 Genes & Dev. )"	"Genes found in literature  (Yang et al, Molecular Cell 24, 593–602, November 17, 2006)"	"Genes found in literature Vigano MA et al, EMBO J. 2006 Nov 1;25(21):5105-16."
"Hdac1"	"1448246_at"	426	0	2.32E-01	0.5714	1.58E+00	0	0	0	0	0
"Wnt4"	"1450782_at"	427	0	-2.32E-01	0.5714	3.16E+00	0	1	0	0	0
"Ifitm3"	"1423754_at"	428	0	-2.32E-01	0.5714	4.39E+00	0.006	0	0	0	0
"Atp1b1"	"1439036_a_at"	429	0	2.32E-01	0.5714	4.35E+00	0	0	0	1	0
"Rsu1"	"1419259_at"	430	0	-2.31E-01	0.573	2.14E+00	0	0	0	0	0
"A630051L19Rik"	"1455134_at"	431	0	2.31E-01	0.573	1.86E+00	0.0482	0	0	0	0
"Gadd45g"	"1453851_a_at"	432	0	2.31E-01	0.573	2.76E+00	0	0	0	0	0
"Pqlc3"	"1424906_at"	433	0	-2.30E-01	0.5745	5.11E+00	0.0016	0	0	0	0
"Ctsb"	"1417490_at"	434	24.124	2.30E-01	0.5745	2.23E+00	0	0	0	0	0
"Cdc2a"	"1448314_at"	435	0	2.29E-01	0.5761	1.63E+00	0.0124	0	0	0	0
"Pthlh"	"1427527_a_at"	436	0	2.29E-01	0.5761	2.54E+00	0	0	1	0	0
"Nupr1"	"1419666_x_at"	437	0	-2.28E-01	0.5776	7.26E+00	0.0181	1	0	1	0
"Cxcl2"	"1449984_at"	438	0	2.28E-01	0.5776	3.12E+00	0	0	0	0	0
"Spbc25"	"1424118_a_at"	439	0	2.28E-01	0.5776	4.83E+00	0.0032	0	0	0	0
"2310020A21Rik"	"1429457_at"	440	0	-2.27E-01	0.5792	4.89E+00	0	0	0	0	0
"Csf2"	"1427429_at"	441	0	-2.25E-01	0.5823	1.78E+00	0	0	0	0	0
"Lmbrd1"	"1451622_at"	442	0	2.24E-01	0.5838	2.33E+00	0	0	0	0	0
"Ctgf"	"1416953_at"	443	0	-2.24E-01	0.5838	8.88E+00	0.0005	0	0	0	0
"Bax"	"1416837_at"	444	0	-2.22E-01	0.5869	2.02E+00	0.0003	0	0	0	0
"Isoc1"	"1425051_at"	445	0	2.21E-01	0.5885	1.54E+00	0.0456	0	0	0	0
"Pacsin3"	"1416995_at"	446	0	2.18E-01	0.5932	4.17E+00	0.0002	0	0	0	0
"Rpl15"	"1434328_at"	447	0	-2.18E-01	0.5932	3.02E+00	0.0023	0	0	0	0
"Atp6ap2"	"1439456_x_at"	448	0	2.18E-01	0.5932	2.37E+00	0.0001	0	0	0	0
"3110023B02Rik"	"1424533_a_at"	449	0	2.15E-01	0.5979	2.64E+00	0.0177	0	0	0	0
"Fuca1"	"1416109_at"	450	0	-2.15E-01	0.5979	2.00E+00	0	0	0	0	0
"Mrpl13"	"1435966_x_at"	451	0	-2.14E-01	0.5995	1.54E+00	0.0003	0	0	0	0
"Ptges"	"1449449_at"	452	58.3073	-2.12E-01	0.6026	1.61E+00	0.0056	1	0	0	0
"Timp3"	"1449334_at"	453	55.5025	2.11E-01	0.6042	2.67E+00	0.0158	0	0	1	0
"Cdc42ep3"	"1450700_at"	454	13.7027	2.09E-01	0.6073	3.62E+00	0	0	0	0	0
"Trim16"	"1452362_at"	455	22.6782	2.08E-01	0.6089	2.14E+00	0.009	0	0	0	0
"Rxra"	"1454773_at"	456	0	-2.08E-01	0.6089	3.94E+00	0	0	0	0	0
"Gmnn"	"1417506_at"	457	0	2.08E-01	0.6089	2.42E+00	0	0	0	0	0
"Cav1"	"1449145_a_at"	458	0	-2.07E-01	0.6105	2.24E+00	0.0001	0	0	1	0
"Peg3"	"1417356_at"	459	0	-2.07E-01	0.6105	1.51E+01	0	0	0	0	0
"Rpa2"	"1416433_at"	460	0	2.06E-01	0.6121	1.50E+00	0.0001	0	0	0	0
"Eif2s2"	"1441023_at"	461	0	2.06E-01	0.6121	5.45E+00	0.0161	0	0	0	0
"Ndn"	"1455792_x_at"	462	0	2.04E-01	0.6153	3.01E+00	0	0	0	0	0
"Ripk3"	"1448449_at"	463	0	2.04E-01	0.6153	1.97E+00	0	0	0	0	0
"8430406I07Rik"	"1429620_at"	464	0	-2.03E-01	0.6169	2.05E+00	0.0005	0	0	0	0
"Zfand6"	"1422032_a_at"	465	0	-2.03E-01	0.6169	1.78E+00	0	0	0	0	0
"Foxm1 /// Pebp1 /// 4933413G19Rik"	"1453107_s_at"	466	12.6187	2.02E-01	0.6185	2.72E+00	0	0	0	0	0
"Mal2"	"1427042_at"	467	0	2.02E-01	0.6185	1.68E+00	0.0095	0	0	0	0
